Date,Time,MGField Value1,MGField Value2,Temperature,Ram-Available
2021-12-11,17-52-09,24986.5772663726,24986.521463351164,  1.00,50.0
2021-12-11,17-52-09,24989.388901981216,24988.677540115943,  1.00,50.0
2021-12-11,17-52-09,24985.652344861548,24988.46222085439,  1.00,50.0
2021-12-11,17-52-09,24985.03628991616,24986.512909204448,  1.00,50.0
2021-12-11,17-52-09,24989.041846000026,24986.153808766798,  1.00,50.0
2021-12-11,17-52-09,24988.91109494064,24985.968252388036,  1.00,50.0
2021-12-11,17-52-09,24987.054030119074,24987.052905185108,  1.00,50.0
2021-12-11,17-52-09,24986.2052891817,24985.83403933634,  1.00,50.0
2021-12-11,17-52-09,24985.554853967205,24988.044826624526,  1.00,50.0
2021-12-11,17-52-09,24988.254413884657,24988.83379961207,  1.00,50.0
